,id,ticker,lastUpdated
371,371,BGB,2021-04-16
372,372,BGH,2021-04-16
373,373,BGIO,2021-04-16
374,374,BGR,2021-04-16
375,375,BGS,2021-04-16
376,376,BGSF,2021-04-16
377,377,BGT,2021-04-16
378,378,BGX,2021-04-16
379,379,BGY,2021-04-16
380,380,BH,2021-04-16
381,381,BHC,2021-04-16
382,382,BHE,2021-04-16
383,383,BHK,2021-04-16
384,384,BHLB,2021-04-16
385,385,BHP,2021-04-16
386,386,BHR,2021-04-16
387,387,BHR^B,2021-04-16
388,388,BHR^D,2021-04-16
389,389,BHV,2021-04-16
390,390,BHVN,2021-04-16
391,391,BIF,2021-04-16
392,392,BIG,2021-04-16
393,393,BIGZ,2021-04-16
394,394,BILL,2021-04-16
395,395,BIO,2021-04-16
396,396,BIO/B,2021-04-16
397,397,BIP,2021-04-16
398,398,BIP^A,2021-04-16
399,399,BIP^B,2021-04-16
400,400,BIPC,2021-04-16
401,401,BIT,2021-04-16
402,402,BITE,2021-04-16
403,403,BJ,2021-04-16
404,404,BK,2021-04-16
405,405,BKD,2021-04-16
406,406,BKE,2021-04-16
407,407,BKH,2021-04-16
408,408,BKI,2021-04-16
409,409,BKN,2021-04-16
410,410,BKR,2021-04-16
411,411,BKT,2021-04-16
412,412,BKU,2021-04-16
413,413,BLD,2021-04-16
414,414,BLE,2021-04-16
415,415,BLK,2021-04-16
416,416,BLL,2021-04-16
417,417,BLUA,2021-04-16
418,418,BLW,2021-04-16
419,419,BLX,2021-04-16
420,420,BMA,2021-04-16
421,421,BME,2021-04-16
422,422,BMEZ,2021-04-16
423,423,BMI,2021-04-16
424,424,BML^G,2021-04-16
425,425,BML^H,2021-04-16
426,426,BML^J,2021-04-16
427,427,BML^L,2021-04-16
428,428,BMO,2021-04-16
429,429,BMY,2021-04-16
430,430,BNED,2021-04-16
431,431,BNL,2021-04-16
432,432,BNS,2021-04-16
433,433,BNY,2021-04-16
434,434,BOAC,2021-04-16
435,435,BOAS,2021-04-16
436,436,BOE,2021-04-16
437,437,BOH,2021-04-16
438,438,BOOT,2021-04-16
439,439,BORR,2021-04-16
440,440,BOX,2021-04-16
441,441,BP,2021-04-16
442,442,BPMP,2021-04-16
443,443,BPT,2021-04-16
444,444,BQ,2021-04-16
445,445,BR,2021-04-16
446,446,BRBR,2021-04-16
447,447,BRC,2021-04-16
448,448,BRFS,2021-04-16
449,449,BRK/A,2021-04-16
450,450,BRK/B,2021-04-16
451,451,BRMK,2021-04-16
452,452,BRO,2021-04-16
453,453,BRT,2021-04-16
454,454,BRX,2021-04-16
455,455,BSA,2021-04-16
456,456,BSAC,2021-04-16
457,457,BSBR,2021-04-16
458,458,BSIG,2021-04-16
459,459,BSL,2021-04-16
460,460,BSM,2021-04-16
461,461,BSMX,2021-04-16
462,462,BSN,2021-04-16
463,463,BST,2021-04-16
464,464,BSTZ,2021-04-16
465,465,BSX,2021-04-16
466,466,BSX^A,2021-04-16
467,467,BTA,2021-04-16
468,468,BTI,2021-04-16
469,469,BTO,2021-04-16
470,470,BTT,2021-04-16
471,471,BTU,2021-04-16
472,472,BTZ,2021-04-16
473,473,BUD,2021-04-16
474,474,BUI,2021-04-16
475,475,BUR,2021-04-16
476,476,BURL,2021-04-16
477,477,BV,2021-04-16
478,478,BVH,2021-04-16
479,479,BVN,2021-04-16
480,480,BW,2021-04-16
481,481,BWA,2021-04-16
482,482,BWG,2021-04-16
483,483,BWSN,2021-04-16
484,484,BWXT,2021-04-16
485,485,BX,2021-04-16
486,486,BXC,2021-04-16
487,487,BXG,2021-04-16
488,488,BXMT,2021-04-16
489,489,BXMX,2021-04-16
490,490,BXP,2021-04-16
491,491,BXS,2021-04-16
492,492,BXS^A,2021-04-16
493,493,BY,2021-04-16
494,494,BYD,2021-04-16
495,495,BYM,2021-04-16
496,496,BZH,2021-04-16
497,497,BZM,2021-04-16
498,498,C,2021-04-16
499,499,C^J,2021-04-16
500,500,C^K,2021-04-16
501,501,C^N,2021-04-16
502,502,CAAP,2021-04-16
503,503,CABO,2021-04-16
504,504,CACI,2021-04-16
505,505,CADE,2021-04-16
506,506,CAE,2021-04-16
507,507,CAF,2021-04-16
508,508,CAG,2021-04-16
509,509,CAH,2021-04-16
510,510,CAI,2021-04-16
511,511,CAI^A,2021-04-16
512,512,CAI^B,2021-04-16
513,513,CAJ,2021-04-16
514,514,CAL,2021-04-16
515,515,CALX,2021-04-16
516,516,CANG,2021-04-16
517,517,CAP,2021-04-16
518,518,CAPL,2021-04-16
519,519,CARR,2021-04-16
520,520,CARS,2021-04-16
